iter	MultiClass
154	0.1329718001
155	0.1324888652
156	0.1319801805
157	0.1313758533
158	0.1309221598
159	0.1300512544
160	0.1293138914
161	0.1283641855
162	0.1275916424
163	0.1268346008
164	0.1260111269
165	0.1254657423
166	0.1243846839
167	0.1232444959
168	0.1223440842
169	0.1219706876
170	0.1211654974
171	0.1204630339
172	0.1198250776
173	0.1187717019
174	0.1181418197
175	0.117746344
176	0.1168227231
177	0.1161424634
178	0.1154122627
179	0.1146214672
180	0.1140236086
181	0.1135380318
182	0.1128933029
183	0.1121783229
184	0.1117229616
185	0.1111512661
186	0.1103811624
187	0.1094435442
188	0.1086939454
189	0.1081396762
190	0.1076267362
191	0.1070886541
192	0.1063427572
193	0.1056909362
194	0.1051798822
195	0.1042838816
196	0.1032915294
197	0.1026690121
198	0.1019681541
199	0.1014731236
200	0.1010463256
201	0.100491433
202	0.0997093662
203	0.09914823867
204	0.09859809225
205	0.09770916818
206	0.0972369806
207	0.09674129548
208	0.09599942004
209	0.09525505845
210	0.09432157867
211	0.09376849408
212	0.09311339977
213	0.09282858463
214	0.09251285249
215	0.09182055959
216	0.09116310383
217	0.09059419835
218	0.09021234576
219	0.0896071847
220	0.08898635861
221	0.08828142458
222	0.08784664602
223	0.08756072419
224	0.08692755313
225	0.08635881131
226	0.08602657244
227	0.08550375799
228	0.08494616094
229	0.08439366087
230	0.08410008578
231	0.08368468198
232	0.0832948488
233	0.08289521914
234	0.08240350873
235	0.08187383596
236	0.08139913106
237	0.08093061425
238	0.08029125511
239	0.0800559056
240	0.07975991451
241	0.07927079935
242	0.07883151613
243	0.07836463596
244	0.07782292995
245	0.07728194874
246	0.07685211129
247	0.07642260117
248	0.07610027569
249	0.07574891925
250	0.07534518239
251	0.07493923996
252	0.07438316265
253	0.07399987605
254	0.07373555794
255	0.07339684263
256	0.07308977691
257	0.07257629133
258	0.07203798331
259	0.07166694038
260	0.07121964538
261	0.07095534286
262	0.07056335087
263	0.0700742435
264	0.06957913511
265	0.06920241067
266	0.06878151242
267	0.0683936666
268	0.06806053927
269	0.06781785604
270	0.06743682177
271	0.0669507383
272	0.06667000698
273	0.06638769357
274	0.06612288446
275	0.06567703127
276	0.06518311139
277	0.0648217987
278	0.06445370562
279	0.06406367371
280	0.06367300662
281	0.06339495628
282	0.06312291476
283	0.06284067538
284	0.06265119869
285	0.06232690534
286	0.06207645584
287	0.06181551623
288	0.06125223768
289	0.0609717012
290	0.06056325703
291	0.06031995032
292	0.06013126857
293	0.05990942528
294	0.05958216259
295	0.05930667632
296	0.05896609056
297	0.05872612728
298	0.05849611635
299	0.05818234429
300	0.05790723601
301	0.05771212068
302	0.05739727701
303	0.05711916432
304	0.05675678001
305	0.05633463479
306	0.05598228078
307	0.05570732447
308	0.05526781134
309	0.05502647639
310	0.05470941545
311	0.05451219587
312	0.05412526579
313	0.05382389326
314	0.05354401923
315	0.0532787464
316	0.05307239668
317	0.05283376999
318	0.05257375781
319	0.05230023551
320	0.05207272242
321	0.05184570422
322	0.05156316869
323	0.05131352971
324	0.05101209094
325	0.05079944793
326	0.05057281551
327	0.050318025
328	0.05006669093
329	0.04988328152
330	0.04958119198
331	0.04935488688
332	0.04918852585
333	0.04903586976
334	0.04868833996
335	0.04850990282
336	0.04821197894
337	0.04801295125
338	0.04784975829
339	0.04766853886
340	0.04744622406
341	0.04725871135
342	0.04700306745
343	0.04679998322
344	0.04653873187
345	0.04623491216
346	0.04607662134
347	0.04589059719
348	0.04557756941
349	0.04538274245
350	0.04514940758
351	0.04490516953
352	0.04465864019
353	0.04442691078
354	0.04419137034
355	0.04404376837
356	0.04390010214
357	0.04376020799
358	0.04359171152
359	0.043433183
360	0.04333830437
361	0.04313524353
362	0.04288101026
363	0.04271301648
364	0.04254833495
365	0.04241170629
366	0.0421666772
367	0.04184736393
368	0.04168121332
369	0.04150029784
370	0.04131998636
371	0.04109080544
372	0.04092730464
373	0.04083417566
374	0.04063542465
375	0.04047271879
376	0.04022910422
377	0.04000905735
378	0.03982707025
379	0.03964480649
380	0.03939064336
381	0.03925378869
382	0.03909882572
383	0.03892619088
384	0.03869676057
385	0.03848701287
386	0.03825156594
387	0.03808670906
388	0.03795402394
389	0.03783406568
390	0.03762335157
391	0.03747999319
392	0.03725893315
393	0.03716675498
394	0.0370508104
395	0.03690458009
396	0.03674336669
397	0.03661811662
398	0.03647690146
399	0.03629408435
400	0.03616030423
401	0.03603088071
402	0.03583605765
403	0.03568082579
404	0.03557668843
405	0.03538505682
406	0.0352401709
407	0.03504951349
408	0.03490346633
409	0.03478596693
410	0.03457578279
411	0.03441775306
412	0.03429651276
413	0.0341206319
414	0.034000962
415	0.03382783617
416	0.0336333794
417	0.03346648451
418	0.03336439295
419	0.03323189098
420	0.03310511726
421	0.03296086652
422	0.03281134733
423	0.03262014632
424	0.03249324985
425	0.03236339379
426	0.03218926064
427	0.03201937303
428	0.03193198399
429	0.03183948045
430	0.03172936154
431	0.03153082485
432	0.03144132376
433	0.03136100932
434	0.0312275429
435	0.03109538968
436	0.03094914379
437	0.03081279375
438	0.03070612154
439	0.03061175728
440	0.03049564514
441	0.03038642443
442	0.03029170168
443	0.03015851582
444	0.0300808278
445	0.02992735534
446	0.0298448139
447	0.02968395705
448	0.02955247214
449	0.02944609023
450	0.02932584361
451	0.02921369643
452	0.02912149878
453	0.02901055181
454	0.02884190921
455	0.02872444488
456	0.02862930322
457	0.0285097249
458	0.02837471925
459	0.02831791404
460	0.02814227089
461	0.02803627671
462	0.02790171724
463	0.02779862227
464	0.02769795693
465	0.02761115241
466	0.02752146818
467	0.02735608524
468	0.02721183059
469	0.02708305978
470	0.02700290511
471	0.02690560463
472	0.02685014965
473	0.02672653817
474	0.02659809858
475	0.02649046581
476	0.02635985377
477	0.02627279207
478	0.02618189594
479	0.02605853969
480	0.02594519231
481	0.02583988396
482	0.02572900324
483	0.02561461736
484	0.02548286551
485	0.02534780336
486	0.02522860497
487	0.02514230898
488	0.02504150726
489	0.02493838306
490	0.0248434713
491	0.02477715602
492	0.02469389562
493	0.02465616706
494	0.02459149232
495	0.02446559343
496	0.02435435809
497	0.02423951045
498	0.02414217101
499	0.02406605534
